"COUNTRY","YEAR","SCENARIO","ISCO08_3D","ISCO88_3D","THS_POP","FLAG_RELIAB","OBS_STATUS"
"BG",2022,"S_AA",221,"Not stated","26,12",,
"BG",2022,"S_AA",226,"Not stated",24444,,
"BG",2022,"S_AA",432,"Not stated",56066,,
"BG",2022,"S_AA",313,"Not stated",12641,,
"BG",2022,"S_AA",133,"Not stated",3004,"u",
"BG",2022,"S_AA",121,"Not stated",21541,,
"BG",2022,"S_AA",832,"Not stated",73205,,
"BG",2022,"S_AA",223,"Not stated",,"x",
"BG",2022,"S_AA",722,"Not stated",33877,,
"BG",2022,"S_AA",243,"Not stated",7575,,
"BG",2022,"S_AA",523,"Not stated",24264,,
"BG",2022,"S_AA",142,"Not stated",36992,,
"BG",2022,"S_AA",241,"Not stated",80289,,
"BG",2022,"S_AA",321,"Not stated",11863,,
"BG",2022,"S_AA",633,"Not stated",,"x",
"BG",2022,"S_AA",265,"Not stated",14571,,
"BG",2022,"S_AA",225,"Not stated",3752,"u",
"BG",2022,"S_AA",335,"Not stated",21531,,
"BG",2022,"S_AA",324,"Not stated",,"x",
"BG",2022,"S_AA",952,"Not stated",,"x",
"BG",2022,"S_AA",232,"Not stated",2911,"u",
"BG",2022,"S_AA",732,"Not stated",7174,,
"BG",2022,"S_AA",325,"Not stated",3108,"u",
"BG",2022,"S_AA",422,"Not stated",22065,,
"BG",2022,"S_AA",931,"Not stated",78677,,
"BG",2022,"S_AA",332,"Not stated",40664,,
"BG",2022,"S_AA",263,"Not stated",26526,,
"BG",2022,"S_AA",713,"Not stated",7519,,
"BG",2022,"S_AA",632,"Not stated",,"x",
"BG",2022,"S_AA",233,"Not stated",43763,,
"BG",2022,"S_AA",122,"Not stated",20967,,
"BG",2022,"S_AA",213,"Not stated",9056,,
"BG",2022,"S_AA",314,"Not stated",,"x",
"BG",2022,"S_AA",813,"Not stated",8066,,
"BG",2022,"S_AA",621,"Not stated",10542,,
"BG",2022,"S_AA",835,"Not stated",9704,,
"BG",2022,"S_AA",522,"Not stated",241821,,
"BG",2022,"S_AA",143,"Not stated",6905,,
"BG",2022,"S_AA",962,"Not stated",95138,,
"BG",2022,"S_AA",413,"Not stated",,"x",
"BG",2022,"S_AA",111,"Not stated",9268,,
"BG",2022,"S_AA",441,"Not stated",22624,,
"BG",2022,"S_AA",215,"Not stated",17037,,
"BG",2022,"S_AA",411,"Not stated",20376,,
"BG",2022,"S_AA",134,"Not stated",13481,,
"BG",2022,"S_AA",731,"Not stated",5612,"u",
"BG",2022,"S_AA",834,"Not stated",42051,,
"BG",2022,"S_AA",214,"Not stated",33931,,
"BG",2022,"S_AA",712,"Not stated",24126,,
"BG",2022,"S_AA",721,"Not stated",27856,,
"BG",2022,"S_AA",933,"Not stated",12272,,
"BG",2022,"S_AA",352,"Not stated",6432,"u",
"BG",2022,"S_AA",611,"Not stated",60296,,
"BG",2022,"S_AA",514,"Not stated",24796,,
"BG",2022,"S_AA",234,"Not stated",39787,,
"BG",2022,"S_AA",818,"Not stated",35927,,
"BG",2022,"S_AA",532,"Not stated",52578,,
"BG",2022,"S_AA",524,"Not stated",20137,,
"BG",2022,"S_AA",252,"Not stated",24665,,
"BG",2022,"S_AA",333,"Not stated",28577,,
"BG",2022,"S_AA",412,"Not stated",15879,,
"BG",2022,"S_AA",622,"Not stated",,"x",
"BG",2022,"S_AA",742,"Not stated",5455,"u",
"BG",2022,"S_AA",331,"Not stated",31276,,
"BG",2022,"S_AA",741,"Not stated",31634,,
"BG",2022,"S_AA",262,"Not stated",5919,"u",
"BG",2022,"S_AA",264,"Not stated",10451,,
"BG",2022,"S_AA",521,"Not stated",22084,,
"BG",2022,"S_AA",431,"Not stated",19573,,
"BG",2022,"S_AA",311,"Not stated",43205,,
"BG",2022,"S_AA",753,"Not stated",48293,,
"BG",2022,"S_AA",334,"Not stated",36491,,
"BG",2022,"S_AA",531,"Not stated",16395,,
"BG",2022,"S_AA",951,"Not stated",5722,"u",
"BG",2022,"S_AA",212,"Not stated",,"x",
"BG",2022,"S_AA",261,"Not stated",27721,,
"BG",2022,"S_AA",711,"Not stated",92743,,
"BG",2022,"S_AA",31,"Not stated",10184,,
"BG",2022,"S_AA",515,"Not stated",8128,,
"BG",2022,"S_AA",312,"Not stated",9646,,
"BG",2022,"S_AA",541,"Not stated",111177,,
"BG",2022,"S_AA",343,"Not stated",8177,,
"BG",2022,"S_AA",911,"Not stated",57006,,
"BG",2022,"S_AA",811,"Not stated",6309,"u",
"BG",2022,"S_AA",821,"Not stated",45243,,
"BG",2022,"S_AA",351,"Not stated",17541,,
"BG",2022,"S_AA",814,"Not stated",16689,,
"BG",2022,"S_AA",231,"Not stated",13612,,
"BG",2022,"S_AA",132,"Not stated",34463,,
"BG",2022,"S_AA",512,"Not stated",37645,,
"BG",2022,"S_AA",112,"Not stated",4204,"u",
"BG",2022,"S_AA",612,"Not stated",24014,,
"BG",2022,"S_AA",752,"Not stated",10356,,
"BG",2022,"S_AA",723,"Not stated",50108,,
"BG",2022,"S_AA",932,"Not stated",51027,,
"BG",2022,"S_AA",751,"Not stated",22552,,
"BG",2022,"S_AA",141,"Not stated",13963,,
"BG",2022,"S_AA",516,"Not stated",12635,,
